Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1,Coverage (%) Sample 2,Coverage (%) Sample 3,Coverage (%) Sample 4,Coverage (%) Sample 5,Coverage (%) Sample 6,Coverage (%) Sample 7,Coverage (%) Sample 8,Coverage (%) Sample 9,Coverage (%) Sample 10,Coverage (%) Sample 11,Coverage (%) Sample 12,Coverage (%) Sample 13,Coverage (%) Sample 14,Coverage (%) Sample 15,Coverage (%) Sample 16,Coverage (%) Sample 17,Coverage (%) Sample 18,Coverage (%) Sample 19,Coverage (%) Sample 20,Area Sample 1,Area Sample 2,Area Sample 3,Area Sample 4,Area Sample 5,Area Sample 6,Area Sample 7,Area Sample 8,Area Sample 9,Area Sample 10,Area Sample 11,Area Sample 12,Area Sample 13,Area Sample 14,Area Sample 15,Area Sample 16,Area Sample 17,Area Sample 18,Area Sample 19,Area Sample 20,#Peptides,#Unique,#Spec Sample 1,#Spec Sample 2,#Spec Sample 3,#Spec Sample 4,#Spec Sample 5,#Spec Sample 6,#Spec Sample 7,#Spec Sample 8,#Spec Sample 9,#Spec Sample 10,#Spec Sample 11,#Spec Sample 12,#Spec Sample 13,#Spec Sample 14,#Spec Sample 15,#Spec Sample 16,#Spec Sample 17,#Spec Sample 18,#Spec Sample 19,#Spec Sample 20,PTM,Avg. Mass,Description
1099,2464,GROUPS_15810931,28.20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,6.88E4,,5.65E4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,43707,putative tRNA sulfurtransferase
564,2343,KNOT_1071917,28.19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,,,,,,,,,,,,,,1.89E5,,,3.22E6,2.65E6,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,,46088,Chromosome partition protein Smc
1795,1509,KNOT_37159275,28.19,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,0E0,,,,,,,,,,,,,,,2.71E5,,,,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,21857,hypothetical protein
581,359,KNOT_14725416,28.18,9,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,,,,,,,1.55E6,1.3E6,,1.15E5,,,,,,,,,,,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,,9963,hypothetical protein
1104,814,KNOT_2905234,28.18,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,3.95E5,,,,,,,,,,,,,,4.23E5,,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,56941,hypothetical protein
1697,1994,GROUPS_12995963,28.15,17,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,8.2E2,,,,,,,,,,,,,,,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,14916,hypothetical protein
468,982,GROUPS_14051244,28.08,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7.95E4,7.43E4,2.9E5,,,,,,,,,,,,,,4.18E4,,,,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Oxidation (M),29003,hypothetical protein
614,557,GROUPS_6375566,28.06,11,0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,,7.02E4,,,,,9.56E4,8.59E4,,,,,,,,,,,,,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,6836,hypothetical protein
1852,2429,GROUPS_8412912,28.04,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,,,,,,3.62E5,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,16242,hypothetical protein
1844,1529,KNOT_4583250,28.03,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6.54E4,,,,,,,,,,,,,,,,,,3.95E4,,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,10369,hypothetical protein
176,1073,KNOT_36220689,28.02,6,3,3,0,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,1.64E6,2.43E6,,3.95E5,,9.87E4,,,1.12E6,,,3.47E5,,,,,2.53E5,,0E0,,2,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,,28298,3-deoxy-manno-octulosonate cytidylyltransferase
1639,1002,KNOT_3390152,28.02,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,,,,,,,,1.64E5,,,,,,,,,,,1.88E5,,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,20181,hypothetical protein
1555,2172,GROUPS_12760096,27.95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,,,,,,,,,,,,,,,,,1.7E5,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,37202,hypothetical protein
1371,2791,GROUPS_15470798,27.95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,4.89E5,1.43E6,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,84543,DNA gyrase subunit A
782,653,KNOT_21927386,27.94,9,0,0,5,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,,2.47E5,,7.47E4,,,,,1.63E5,,,,,,,,,,,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,25437,hypothetical protein
868,1032,KNOT_8125709,27.93,9,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,,,,1.53E4,,,,,1.73E3,,,,,,,2.14E3,,,,,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Carbamidomethylation,31233,Pseudouridine-5'-phosphate glycosidase
1317,964,KNOT_3050439,27.91,7,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.52E5,,,,,,,,,,,,,,,,,,,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,24174,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
1461,2066,KNOT_1517765,27.91,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,1.45E5,,,,,,,,,,1.42E6,,,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,60012,Murein DD-endopeptidase MepM
1710,2661,KNOT_7807965,27.89,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,4.9E5,,3.35E4,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,21772,hypothetical protein
251,612,KNOT_31738174,27.88,3,3,3,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,2.62E5,3.08E5,,,,,1.68E6,1.36E6,1.9E5,2.5E5,5.85E4,,,,,,,,,,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,33679,hypothetical protein
288,981,KNOT_947553,27.85,4,2,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4.76E4,,,0E0,9.39E4,,,,,,,,,,,,,,,,2,2,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,34900,hypothetical protein
1375,2913,KNOT_105861,27.81,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,,,,,,,,,,,,,0E0,,,,,2.01E5,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,55677,Glycogen synthase
3319,707,GROUPS_13527773,27.78,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,0E0,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,52717,hypothetical protein
1843,1195,KNOT_15006008,27.74,12,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.4E5,5.95E3,,,,,,,,,,,,,,,,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22194,hypothetical protein
1409,2309,GROUPS_4836148,27.73,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,2.42E5,,,,,,,,,,,,2.51E5,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,34387,hypothetical protein
932,864,KNOT_7025809,27.70,6,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,3.21E4,,,,,,,,,,,,,,,,,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,31385,hypothetical protein
963,2433,KNOT_15473889,27.63,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0E0,,,,,,,,,,,,,,,,3.71E5,,,,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,11793,hypothetical protein
633,1082,KNOT_238355,27.56,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0E0,1.29E5,,,,,,,,3.6E4,,,,,,,,,,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,88470,Tyrosine-protein kinase etk
2001,321,GROUPS_251920,27.55,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05E4,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38751,dTDP-4-amino-4 6-dideoxygalactose transaminase
1167,2206,KNOT_2893917,27.50,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,,,,,,,,,,,,,,,,,2.59E5,,8.21E3,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,28450,hypothetical protein
1199,1309,KNOT_42646,27.50,8,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2.13E5,,,,,,,,,,7.5E4,,,,,,,,,,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),40254,hypothetical protein
1109,2634,KNOT_3726335,27.47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,,,,,,,,,,,,,,,0E0,,9.07E5,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,69537,Quinate/shikimate dehydrogenase (quinone)
1587,1109,KNOT_1935170,27.46,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,1.44E4,,,,,,,,,,,,,,,3.08E5,,,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,28309,hypothetical protein
1315,910,GROUPS_12596398,27.46,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3.15E4,,,,,,,,,,,,,,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,53191,hypothetical protein
922,5347,KNOT_6948751,27.46,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,,0E0,,,,,,,,,,,,,,,1.84E5,,,2.36E5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Oxidation (M),15530,50S ribosomal protein L9
1689,1036,GROUPS_12368471,27.45,4,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,23373,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
244,281,KNOT_4172577,27.44,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.13E6,1.59E6,7.2E5,,,,,,,,,,,,,,,,1,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24640,hypothetical protein
1356,1572,KNOT_24682391,27.44,8,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,2.05E4,,,,,,,,,8.26E4,,,,,,,,,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Oxidation (M),28397,Cell shape-determining protein MreC
1122,1256,KNOT_4754017,27.43,4,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,5.7E5,,,,0E0,,,,,,,,,,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,59608,hypothetical protein
892,1315,GROUPS_14915955,27.42,18,0,15,0,0,14,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,,7.32E5,,,3.09E5,,,,,4.41E6,,,,,,,,,,,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,11549,hypothetical protein
876,2016,KNOT_5587631,27.40,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,0,0,,,,,,,2.32E5,,,,,,,,,,,0E0,,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,,33765,Pyrimidine-nucleoside phosphorylase
978,1383,GROUPS_12968960,27.39,7,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0E0,1.73E6,,,,,,,9.35E4,,,,,,,,,,,,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Oxidation (M),38189,hypothetical protein
3482,442,GROUPS_15734900,27.39,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,4.13E5,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Oxidation (M),36566,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
1005,5567,KNOT_7512126,27.38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,,,,,,,,,,,,,,,,4.34E4,4.95E5,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,13748,Ribonuclease G
536,2101,GROUPS_15501030,27.35,6,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,,0E0,,,,0E0,5.4E4,,,,,,,,,,,,1.93E4,,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,37363,putative protein kinase UbiB
1754,2380,KNOT_20977605,27.33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,,,,,,,,,,,,,,,,,1.38E6,,,1.24E5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,27948,Indole-3-glycerol phosphate synthase
917,2049,KNOT_6713896,27.31,10,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,,4.02E5,,,,,2.28E5,,,,,,,,,,,2.97E5,,,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,22471,Protein RecA
1032,1816,KNOT_34074777,27.30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,,,,,,,,,,,,,,3.88E4,,,,,1.99E4,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,57706,hypothetical protein
861,332,GROUPS_8060434,27.28,5,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,7.86E4,,,,,4.15E4,3.16E5,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,18661,hypothetical protein
1799,1747,GROUPS_12666077,27.27,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,25662,hypothetical protein
1597,1568,KNOT_1100818,27.27,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.2E5,,,,,,,,,,,,,,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,43125,DNA topoisomerase 1
1303,2727,KNOT_1541176,27.27,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1.57E3,,,,,,,,,,,,,,,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,89644,Alginate biosynthesis sensor protein KinB
1235,1131,KNOT_585996,27.26,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,2.21E5,,,,,,,,3.87E5,,,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,56200,Bifunctional NAD(P)H-hydrate repair enzyme Nnr
4295,4875,GROUPS_5741258,27.24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,1.19E5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,31334,putative 2-dehydropantoate 2-reductase
1084,1415,KNOT_21723277,27.22,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,0E0,0E0,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Carbamidomethylation,63565,Oligopeptide-binding protein OppA
894,1545,GROUPS_9874522,27.15,5,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.25E7,1.44E7,,,,,,,,,,,,,,,,,,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,27301,hypothetical protein
784,868,KNOT_267452,27.14,14,4,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91E5,0E0,,,,,1.94E5,,,,,,,,,,,,,,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),29793,hypothetical protein
1035,2020,KNOT_3722616,27.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,2.41E5,,,1.21E4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,152463,hypothetical protein
467,866,KNOT_812716,27.14,3,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,2.28E6,,1.86E7,,,2.43E5,,,5.09E5,,,,,,,,,,2,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Oxidation (M),96227,ATP-dependent Clp protease ATP-binding subunit ClpC
830,1539,GROUPS_14660299,27.14,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0E0,,,,,,,,,,,,,,,,,,,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,45597,hypothetical protein
1329,1743,KNOT_26011110,27.08,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,,,,8.74E3,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,70772,hypothetical protein
1242,1910,KNOT_10837840,27.07,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,6.55E4,,,,,,,,,,,,,,1E5,,,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,38382,(2E 6E)-farnesyl diphosphate synthase
712,1189,KNOT_22002627,27.04,7,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,,,,,,,2.34E4,,,6.65E5,,,,1.1E6,,,,,,,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,Carbamidomethylation,36251,UTP--glucose-1-phosphate uridylyltransferase
1164,1712,KNOT_33596709,27.03,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0E0,,9.78E4,,,,,,,,,,,,,,,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,110825,Linear gramicidin synthase subunit D
994,1130,GROUPS_12964740,27.00,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,,,,,1.87E2,,,,,,,,,,,1.44E5,1.56E5,,,,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Carbamidomethylation,15559,hypothetical protein
1923,8169,GROUPS_10027724,26.96,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,,,,,,,,,,,,,,,,2.74E5,,,,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,15973,hypothetical protein
1042,1426,GROUPS_8426851,26.95,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,1.43E4,,,,,,,,,,,,,1.64E5,,,,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,61116,hypothetical protein
1045,1780,KNOT_20816584,26.93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,2.34E5,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,115067,hypothetical protein
4199,3785,GROUPS_11592553,26.93,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,,,,,,,,,,,,,,,,,2.78E5,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,13094,Nucleotide-binding protein
1019,1145,GROUPS_12673158,26.92,10,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.78E6,,,,5.31E6,,,,,,,,,,,,,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,24166,hypothetical protein
2065,320,KNOT_159639,26.89,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37E5,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44789,hypothetical protein
829,1172,KNOT_9808106,26.88,3,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,0E0,,,,2.49E6,,,,,,,,,,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,77293,ATP-dependent RNA helicase DbpA
1714,3558,KNOT_27288765,26.88,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.04E5,,,,,,,,,,,,,,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,44178,hypothetical protein
1234,1070,KNOT_4608625,26.84,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5.2E5,,,,,,,,,,,,,,,,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54876,hypothetical protein
1568,2717,GROUPS_15147819,26.83,5,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,2.39E5,,,,,,,,9.82E4,,,,,,,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Carbamidomethylation,40192,Adaptive-response sensory-kinase SasA
1182,1373,KNOT_12718059,26.82,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,,,,,,,,,,,1.53E4,,,,,,1.42E5,,,,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,25107,hypothetical protein
944,2845,GROUPS_7587485,26.80,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,,,,,,,,,,,,,,,,,3.96E5,2.41E5,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,19636,Cell division protein FtsQ
3012,1376,GROUPS_8550549,26.79,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,,,,,1.64E5,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,27956,hypothetical protein
2994,395,KNOT_9619363,26.76,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.76E0,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,46234,hypothetical protein
1399,1543,KNOT_13753893,26.74,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0E0,,,,,,,,,0E0,,,,,,,,,,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Oxidation (M),82226,hypothetical protein
655,992,GROUPS_11021226,26.73,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,,,9.27E5,,,,,,,,,,,,,,0E0,,,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,19343,hypothetical protein
1675,4443,KNOT_2620774,26.73,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,,,,,,,,,,,,1.01E4,,,,,,1.79E5,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,31139,HTH-type transcriptional regulator CysL
1790,1243,KNOT_8213043,26.72,9,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.25E4,,,,1.31E6,,,,,,,,,,,,,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,23556,DNA-directed RNA polymerase subunit alpha
4292,769,KNOT_26172718,26.72,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.99E3,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21237,HTH-type transcriptional regulator DmlR
962,2095,KNOT_647764,26.70,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,,,,,,,,,,,,,,,,,5.06E5,1.38E5,1.13E5,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,18616,Phosphopantetheine adenylyltransferase
1882,2271,KNOT_736258,26.70,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,4.02E3,,,,,,,,,,,,,,,,,1.06E5,,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,35391,FAD:protein FMN transferase
2719,488,KNOT_24100054,26.70,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1.91E4,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,21483,hypothetical protein
