Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-302-Bay,Coverage (%) Trocas7-306-Chav,Coverage (%) Trocas7-310-SMCP,Coverage (%) Trocas7-318-NMCP,Coverage (%) Trocas7-402-Bay,Coverage (%) Trocas7-406-Chav,Coverage (%) Trocas7-410-SMCP,Coverage (%) Trocas7-417-NMCP,Coverage (%) Trocas7-102-Bay,Coverage (%) Trocas7-106-Chav,Coverage (%) Trocas7-206-Chav,Coverage (%) Trocas7-110-SMCP,Coverage (%) Trocas7-126-NMCP,Coverage (%) Trocas7-202-Bay,Coverage (%) Trocas7-210-SMCP,Coverage (%) Trocas7-410-SMCP-DUP,Coverage (%) Trocas7-226-NMCP,Coverage (%) Trocas7-303-Bay,Coverage (%) Trocas7-310-SMCP-DUP,Coverage (%) Trocas7-102-Bay-DUP,Coverage (%) Trocas7-106-Chav-DUP,Coverage (%) Trocas7-302-Bay-DUP,Coverage (%) Trocas7-306-Chav-DUP,Coverage (%) Trocas7-503-Bay,Coverage (%) Trocas7-519-NMCP,Coverage (%) Trocas7-318-NMCP-DUP,Coverage (%) Trocas7-402-Bay-DUP,Coverage (%) Trocas7-406-Chav-DUP,Coverage (%) Trocas7-417-NMCP-DUP,Coverage (%) Trocas7-307-Chav,Coverage (%) Trocas7-311-SMCP,Coverage (%) Trocas7-319-NMCP,Coverage (%) Trocas7-507-Chav,Coverage (%) Trocas7-511-SMCP,Area Trocas7-302-Bay,Area Trocas7-306-Chav,Area Trocas7-310-SMCP,Area Trocas7-318-NMCP,Area Trocas7-402-Bay,Area Trocas7-406-Chav,Area Trocas7-410-SMCP,Area Trocas7-417-NMCP,Area Trocas7-102-Bay,Area Trocas7-106-Chav,Area Trocas7-206-Chav,Area Trocas7-110-SMCP,Area Trocas7-126-NMCP,Area Trocas7-202-Bay,Area Trocas7-210-SMCP,Area Trocas7-410-SMCP-DUP,Area Trocas7-226-NMCP,Area Trocas7-303-Bay,Area Trocas7-310-SMCP-DUP,Area Trocas7-102-Bay-DUP,Area Trocas7-106-Chav-DUP,Area Trocas7-302-Bay-DUP,Area Trocas7-306-Chav-DUP,Area Trocas7-503-Bay,Area Trocas7-519-NMCP,Area Trocas7-318-NMCP-DUP,Area Trocas7-402-Bay-DUP,Area Trocas7-406-Chav-DUP,Area Trocas7-417-NMCP-DUP,Area Trocas7-307-Chav,Area Trocas7-311-SMCP,Area Trocas7-319-NMCP,Area Trocas7-507-Chav,Area Trocas7-511-SMCP,#Peptides,#Unique,#Spec Trocas7-302-Bay,#Spec Trocas7-306-Chav,#Spec Trocas7-310-SMCP,#Spec Trocas7-318-NMCP,#Spec Trocas7-402-Bay,#Spec Trocas7-406-Chav,#Spec Trocas7-410-SMCP,#Spec Trocas7-417-NMCP,#Spec Trocas7-102-Bay,#Spec Trocas7-106-Chav,#Spec Trocas7-206-Chav,#Spec Trocas7-110-SMCP,#Spec Trocas7-126-NMCP,#Spec Trocas7-202-Bay,#Spec Trocas7-210-SMCP,#Spec Trocas7-410-SMCP-DUP,#Spec Trocas7-226-NMCP,#Spec Trocas7-303-Bay,#Spec Trocas7-310-SMCP-DUP,#Spec Trocas7-102-Bay-DUP,#Spec Trocas7-106-Chav-DUP,#Spec Trocas7-302-Bay-DUP,#Spec Trocas7-306-Chav-DUP,#Spec Trocas7-503-Bay,#Spec Trocas7-519-NMCP,#Spec Trocas7-318-NMCP-DUP,#Spec Trocas7-402-Bay-DUP,#Spec Trocas7-406-Chav-DUP,#Spec Trocas7-417-NMCP-DUP,#Spec Trocas7-307-Chav,#Spec Trocas7-311-SMCP,#Spec Trocas7-319-NMCP,#Spec Trocas7-507-Chav,#Spec Trocas7-511-SMCP,PTM,Avg. Mass,Description
346,15458,GROUPS_11625767_PROKKA_404186,25.14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1.24E5,,,0E0,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Deamidation (NQ),26980,Vegetative protein 296
340,3024,GROUPS_10301952_PROKKA_297086,25.09,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,,,,,,,,,,,,,,,,,,,,,1.19E5,,,,,,,,,,,,1.09E5,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,8299,hypothetical protein
92,13566,KNOT_6265019_PROKKA_362216,24.94,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,7.62E4,,,,,,,,1.77E6,,,,,,,,2.16E6,,,,,,2.61E5,,,,,,,,,2,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Oxidation (M),121891,hypothetical protein
13,13506,GROUPS_12747118_PROKKA_490396,24.83,4,4,4,0,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5.82E7,6.64E7,,1.35E8,1.88E7,2.75E7,,5.37E7,9.79E7,1.05E8,1.12E8,,5.49E7,0E0,1.34E8,9.15E7,1.25E8,9.61E7,4.88E7,1.4E8,1.38E8,3.29E7,1.18E7,9.68E7,4.96E7,6.56E6,1.84E7,4.64E7,1.21E8,9.27E7,6.48E7,1.05E8,5.74E7,3.19E7,1,1,2,3,0,3,2,2,0,3,2,1,2,0,3,1,4,1,3,3,1,1,1,2,1,3,3,4,2,4,1,2,1,1,2,3,,20210,hypothetical protein
644,13542,GROUPS_12845604_PROKKA_504908,24.74,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44E4,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,18380,hypothetical protein
31,2553,KNOT_2888084_PROKKA_199319,24.71,2,0,2,0,2,2,0,0,2,2,2,2,2,0,2,0,0,2,2,2,0,2,0,2,2,2,0,2,0,0,0,0,0,2,2,,2.07E5,,2.79E5,1.06E5,,,1.26E5,1.48E5,1.15E5,4.52E4,9.34E3,,1.43E5,,,6.64E5,3.82E5,3.16E5,,1.24E5,,9.24E4,4.35E5,3.49E5,,2.25E4,,,,,,7.84E4,1.76E4,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,2,0,0,2,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,2,,36362,hypothetical protein
31,2554,KNOT_2866283_PROKKA_197852,24.71,2,0,2,0,2,2,0,0,2,2,2,2,2,0,2,0,0,2,2,2,0,2,0,2,2,2,0,2,0,0,0,0,0,2,2,,2.07E5,,2.79E5,1.06E5,,,1.26E5,1.48E5,1.15E5,4.52E4,9.34E3,,1.43E5,,,6.64E5,3.82E5,3.16E5,,1.24E5,,9.24E4,4.35E5,3.49E5,,2.25E4,,,,,,7.84E4,1.76E4,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,2,0,0,2,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,2,,37594,Putative conjugal transfer protein
344,15016,KNOT_4055117_PROKKA_279225,24.62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2.8E4,,,,,,,2.27E3,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,21594,hypothetical protein
296,13979,KNOT_4015729_PROKKA_276814,24.60,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0E0,,0E0,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Carbamidomethylation; Deamidation (NQ),24860,hypothetical protein
609,13784,KNOT_13570160_PROKKA_584459,24.58,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50834,Fumarate hydratase class II
48,13477,KNOT_32232462_PROKKA_845212,24.39,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,2,0,0,3.44E0,,,,,,,,3.77E5,,,,,,3.33E5,,,,5.16E5,,6.59E5,,,2.67E5,1.12E5,3.98E3,,3E3,,,,4.79E4,,,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,Oxidation (M); Deamidation (NQ),102354,hypothetical protein
270,13645,KNOT_36084424_PROKKA_893695,24.36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0E0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,41116,hypothetical protein
863,13601,GROUPS_11638182_PROKKA_405086,24.35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0E0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxidation (M),34874,hypothetical protein
798,14441,KNOT_18349785_PROKKA_662542,24.32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18E4,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,42508,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2 6-diaminopimelate ligase
65,12089,KNOT_2739663_PROKKA_188702,24.31,4,4,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2.66E5,,,2.6E5,,,,,2.67E5,2.73E5,,,,,,,,1.03E4,2.58E5,,,,,,,,,6.77E4,,,,,,,1,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,55398,Hopanoid C-3 methylase
312,13638,KNOT_31066968_PROKKA_818708,24.25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,2.16E3,,,,,,,,,,3.99E3,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Deamidation (NQ),39782,hypothetical protein
707,13491,KNOT_3985219_PROKKA_274957,24.21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4.04E4,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,60063,hypothetical protein
217,5294,KNOT_4613408_PROKKA_309925,24.20,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.12E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,64655,hypothetical protein
241,5048,GROUPS_13936315_PROKKA_573221,24.18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1.97E4,,,0E0,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),85765,hypothetical protein
299,15741,KNOT_8727903_PROKKA_456709,24.12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3.88E4,,,,,,,0E0,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Deamidation (NQ),41408,L-lactate dehydrogenase
295,13735,GROUPS_15247796_PROKKA_666435,23.99,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0E0,,,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Carbamidomethylation,44633,hypothetical protein
327,13497,KNOT_3502282_PROKKA_243040,23.96,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,1.07E4,,,,,,,,,,,,,,,,,4.61E3,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,13605,hypothetical protein
398,13471,KNOT_11423267_PROKKA_533635,23.86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0E0,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,56817,Glutamine--tRNA ligase
960,13837,GROUPS_10787117_PROKKA_323561,23.77,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0E0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deamidation (NQ),12347,hypothetical protein
313,13715,KNOT_32683353_PROKKA_859249,23.71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1.37E5,,,,,,,,,2.63E4,,,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,75182,hypothetical protein
512,13758,KNOT_26524222_PROKKA_776451,23.70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28E3,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Deamidation (NQ),35197,hypothetical protein
512,14429,KNOT_33448713_PROKKA_874187,23.70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28E3,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Deamidation (NQ),24934,hypothetical protein
512,14844,KNOT_1637625_PROKKA_108738,23.70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28E3,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Deamidation (NQ),33303,hypothetical protein
45,7289,GROUPS_11002937_PROKKA_337511,23.63,12,0,0,0,0,0,0,0,12,12,0,12,0,0,12,12,0,12,0,0,0,0,0,0,12,0,0,0,12,12,12,0,12,0,0,,,,,,,,0E0,2.79E5,,4.8E4,,,6.01E4,1.95E5,,4.02E4,,,,,,,1.78E5,,,,1.21E3,3.95E5,8.65E3,,1.07E3,,,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,Carbamidomethylation,7753,hypothetical protein
18,2545,GROUPS_10019017_PROKKA_271181,23.62,8,8,8,8,8,8,0,0,0,8,0,0,0,0,0,8,0,8,8,8,0,0,8,0,0,8,8,0,0,8,8,0,8,0,8,3.86E5,1.82E5,3.14E5,3.56E5,1.35E4,,,,1.02E5,,,,,,1.19E5,,2.25E5,2.59E5,5.02E5,,,1.11E6,,,1.59E4,9.51E5,,,8.82E4,7.22E5,,7.02E4,,8.58E4,1,1,4,2,5,4,1,0,0,0,1,0,0,0,0,0,3,0,2,1,2,0,0,4,0,0,1,1,0,0,2,4,0,2,0,1,,15147,hypothetical protein
259,8898,KNOT_22001724_PROKKA_718521,23.61,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,1.35E4,,,,,,,,,,,,,,,,,,,,2.25E5,,,,,,,,,,,,,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Oxidation (M); Deamidation (NQ),51899,hypothetical protein
206,10079,KNOT_14748780_PROKKA_609108,23.51,9,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0E0,5.08E3,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,34757,hypothetical protein
72,2739,KNOT_2233323_PROKKA_151623,23.48,6,0,0,6,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,0,0,6,6,0,0,6,0,0,0,,,1.43E5,,,,,,,,,,2.01E6,2.81E6,,,,1.57E4,,,,,,,,,6.79E4,1.64E6,,,4.67E5,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Oxidation (M); Deamidation (NQ),36326,hypothetical protein
387,8156,KNOT_21955567_PROKKA_715638,23.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58E2,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Oxidation (M); Deamidation (NQ),421843,hypothetical protein
402,3619,KNOT_3082634_PROKKA_213133,23.47,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,5.86E4,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deamidation (NQ),146789,hypothetical protein
965,14721,KNOT_4625491_PROKKA_310198,23.38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2.28E4,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,16158,Adenylosuccinate synthetase
956,13567,KNOT_3156830_PROKKA_218551,23.24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4.51E5,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,23808,PqqC-like protein
888,15199,GROUPS_1438195_PROKKA_14546,23.21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51E3,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,47753,Periplasmic beta-glucosidase
706,13480,KNOT_27100103_PROKKA_781020,23.18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4.18E5,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Oxidation (M),43630,hypothetical protein
648,13625,KNOT_3771343_PROKKA_261281,23.15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61E4,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,10716,Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
42,2507,KNOT_22613331_PROKKA_735452,23.04,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,,,,,,,9.04E3,5.01E4,,,,,,9.81E4,3.84E5,3E5,,,,,,2.5E5,,6.14E4,,,,,1.76E5,,,6.37E4,0E0,5.2E4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,1,1,,69450,hypothetical protein
213,13986,KNOT_10831868_PROKKA_515752,23.02,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.44E4,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,19460,Phosphoheptose isomerase
705,3614,KNOT_22108851_PROKKA_723293,23.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2.59E4,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,63744,Vitamin B12 transporter BtuB
420,13574,KNOT_1536525_PROKKA_101575,22.95,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.08E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation; Deamidation (NQ),45208,hypothetical protein
44,2504,KNOT_7767017_PROKKA_420863,22.90,4,0,0,0,0,4,4,0,0,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,,,,,9E4,5.08E4,,,,,2.39E4,,,8.08E4,2.45E5,2.7E5,,,,,,,,2.71E5,1.01E5,,,,3.05E5,,,,,,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,3,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,,19338,hypothetical protein
99,5209,KNOT_28165940_PROKKA_788960,22.69,11,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,9.92E4,,,,4.07E4,,,,,,,2.51E4,,,,,,,,,,,,,,,,2.69E5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Oxidation (M),7724,hypothetical protein
99,5210,GROUPS_13432562_PROKKA_539760,22.69,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,9.92E4,,,,4.07E4,,,,,,,2.51E4,,,,,,,,,,,,,,,,2.69E5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Oxidation (M),35213,hypothetical protein
300,13474,KNOT_28538474_PROKKA_791285,22.58,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.56E4,,,,,,2E4,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Deamidation (NQ),39617,RNA polymerase principal sigma factor HrdA
148,10768,KNOT_8664336_PROKKA_454431,22.52,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,,,,,,,,,,,,,,,,8.36E4,,,,,,,,,,,,6.17E4,7.9E4,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,17429,hypothetical protein
